Work order,Date,Color,Texure,Size,Quantity in,Product Type,,,,,,,,,,,,,
BULK110,26-Aug-24,2N,Regular,18,210,SD,,,,,,,,,,,,,
BULK111,26-Aug-24,2A,Regular,22,120,SD,,,,,,,,,,,,,
BULK112,26-Aug-24,2N,Regular,18,206,SD,,,,,,,,,,,,,
,,,,,,,,,,,,,Regular,,6N/9N,,,,
,,,,,,,,,,,,,Curly,,7G/10N,,,,
,,,,,,,,,,,,,Wavy,,8N/11A,,,,
,,,,,,,,,,,,,,,9A/11A,,,,
,,,,,,,,,,,,,,,10B/12B,,,,
,,,,,,,,,,,,,,,11A/12B,,,,
,,,,,,,,,,,,,,,2N/4B  Ombre,,,,
,,,,,,,,,,,,,,,4N/7G  Ombre,,,,
,,,,,,,,,,,,,,,6N/10N Ombre,,,,
,,,,,,,,,,,,,,,7A/11A Ombre,,,,
,,,,,,,,,,,,,,,7N/11B  Ombre,,,,
,,,,,,,,,,,,,,,Custom color,,,,
,,,,,,,,,,,,,,,Gray white,,,,
,,,,,,,,,,,,,,,Others,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,43,
,,,,,,,,,,,,,,,,,,33,101
,,,,,,,,,,,,,,,,,,25,
,,,,,,,,,,,,,,,,,,101,
,,,,,,,,,,,,,,,,,,,1500
